,slug,name,country,whiskybase_whiskies,whiskybase_votes,whiskybase_rating
169,kawasaki,Kawasaki,Japan,31,415,90.02
170,kilchoman,Kilchoman,Scotland,1337,28498,86.04
171,killyloch,Killyloch,Scotland,4,59,88.18
172,kimbland,Kimbland,Scotland,0,0,0.0
173,kinclaith,Kinclaith,Scotland,43,276,87.22
174,kingsbarns,Kingsbarns Distillery,Scotland,57,1146,84.12
175,kininvie,Kininvie,Scotland,54,2447,83.15
176,kinloch,Kinloch Distillery,Scotland,0,0,0.0
177,kintyre,Kintyre Distillery,Scotland,0,0,0.0
178,knockando,Knockando,Scotland,411,4298,84.06
179,knockdhu,Knockdhu,Scotland,305,7463,84.59
180,kuju,Kuju,Japan,1,0,0.0
181,"kumesen__co.,_ltd.","Kumesen Distillery Co., Ltd.",Japan,16,50,87.53
182,kyoto_miyako,Kyoto Miyako,Japan,3,0,0.0
183,ladyburn,Ladyburn,Scotland,96,872,87.79
184,lagavulin,Lagavulin,Scotland,733,43793,88.01
185,lagg,Lagg,Scotland,3,26,80.57
186,lagg,Lagg,Scotland,3,26,80.57
187,lagg,Lagg Distillery,Scotland,12,252,83.7
188,lagg,Lagg Distillery,Scotland,12,252,83.7
189,laphroaig,Laphroaig,Scotland,3331,86339,87.49
190,linkwood,Linkwood,Scotland,2265,20657,86.06
191,littlemill,Littlemill,Scotland,662,16428,87.18
192,lochead,Lochead Distillery,Scotland,0,0,0.0
193,loch_ewe,Loch Ewe Distillery,Scotland,14,13,69.59
194,lochhead,Lochhead,Scotland,1,0,0.0
195,lochindaal_(closed),Lochindaal (Closed),Scotland,6,0,0.0
196,lochlea,Lochlea,Scotland,8,496,84.41
197,loch_lomond,Loch Lomond,Scotland,1391,16027,83.98
198,lochruan,Lochruan Distillery,Scotland,0,0,0.0
199,lochside,Lochside,Scotland,223,4901,88.46
200,lochside,Lochside,Scotland,223,4901,88.46
201,lochside,Lochside Distillery,Scotland,1,0,0.0
202,lochside,Lochside Distillery,Scotland,1,0,0.0
203,lone_wolf,Lone Wolf,Scotland,0,0,0.0
204,longmorn,Longmorn,Scotland,1613,22229,87.36
205,longrow,Longrow Distillery,Scotland,2,1,83.0
206,lossit,Lossit,Scotland,1,11,80.22
207,lost_loch,Lost Loch,Scotland,0,0,0.0
208,macallan,Macallan,Scotland,3709,51938,88.22
209,macduff,Macduff,Scotland,1040,9167,85.09
210,malt_mill,Malt Mill,Scotland,2,0,0.0
211,mannochmore,Mannochmore,Scotland,529,6467,84.94
212,matsui_shuzo,Matsui Shuzo,Japan,61,548,81.48
213,meadowburn,Meadowburn Distillery,Scotland,0,0,0.0
214,meadownburn,Meadownburn Distillery,Scotland,0,0,0.0
215,millburn,Millburn,Scotland,120,1990,88.63
216,miltonduff,Miltonduff,Scotland,1097,11676,85.8
217,miyagikyo,Miyagikyo,Japan,371,7845,86.02
218,miyashita_sake_brewery,Miyashita Sake Brewery,Japan,9,25,86.64
219,monde_shuzou,Monde Shuzou,Japan,9,315,64.56
220,mortlach,Mortlach,Scotland,2157,31750,86.23
221,mossfield,Mossfield Distillery,Scotland,0,0,0.0
222,mountain_dew,Mountain Dew Distillery,Scotland,0,0,0.0
223,mulindry,Mulindry,Scotland,0,0,0.0
224,nagahama,Nagahama,Japan,65,194,85.47
225,nantou,Nantou Distillery,Taiwan,317,917,85.68
226,nc'nean,Nc'nean,Scotland,4,5,84.5
227,ncn'ean,Ncn'ean,Scotland,0,0,0.0
228,newton,Newton,Scotland,0,0,0.0
229,niigata,Niigata Distillery,Japan,1,4,41.75
230,nishinomiya,Nishinomiya,Japan,31,365,87.26
231,north_british,North British,Scotland,498,4255,84.85
232,north_of_scotland,North of Scotland,Scotland,89,980,87.49
233,north_point,North Point,Scotland,0,0,0.0
234,north_port,North Port,Scotland,124,1227,87.34
235,oban,Oban,Scotland,240,9093,85.35
236,octomore,Octomore,Scotland,0,10,88.17
237,octomore_(closed),Octomore (Closed),Scotland,0,10,88.17
238,ohishi,Ohishi Distillery,Japan,18,22,81.85
239,old_pulteney,Old Pulteney,Scotland,669,12566,85.79
240,osuzuyama,Osuzuyama,Japan,2,0,0.0
241,parkmore,Parkmore,Scotland,3,1,87.0
242,pittyvaich,Pittyvaich,Scotland,148,2292,85.81
243,port_charlotte,Port Charlotte,Scotland,1,3,86.67
244,port_charlotte_(closed),Port Charlotte (Closed),Scotland,1,3,86.67
245,port_dundas,Port Dundas,Scotland,305,2934,85.44
246,port_ellen,Port Ellen,Scotland,1453,25470,89.26
247,pulteney,Pulteney,Scotland,824,17081,85.99
248,raasay,Raasay,Scotland,24,130,82.16
249,rieclachan,Rieclachan Distillery,Scotland,0,0,0.0
250,rokkosan,Rokkosan Distillery,Japan,1,0,0.0
251,rosebank,Rosebank,Scotland,697,6280,86.95
252,roseisle,Roseisle,Scotland,3,271,86.85
253,royal_brackla,Royal Brackla,Scotland,675,5416,84.96
254,royal_lochnagar,Royal Lochnagar,Scotland,247,3843,84.62
255,sakurao,Sakurao,Japan,0,13,79.18
256,sakurao,Sakurao,Japan,0,13,79.18
257,sakurao,Sakurao Distillery,Japan,17,63,84.04
258,sakurao,Sakurao Distillery,Japan,17,63,84.04
259,sasanokawa_shuzo,Sasanokawa Shuzo,Japan,50,368,85.69
260,saxa_vord,Saxa Vord,Scotland,4,16,83.38
261,scapa,Scapa,Scotland,448,5369,85.17
262,shinshu_mars,Shinshu Mars,Japan,205,1590,86.5
263,shinzato_shuzo,Shinzato Shuzo,Japan,1,3,78.33
264,shirakawa,Shirakawa,Japan,2,3,86.5
265,shizuoka,Shizuoka,Japan,87,363,87.38
266,speyburn,Speyburn,Scotland,350,3851,83.91
267,speyside,Speyside Distillery,Scotland,450,4285,84.27
268,springbank,Springbank,Scotland,5093,110076,88.46
269,springside,Springside Distillery,Scotland,0,0,0.0
270,starlaw,Starlaw,Scotland,1,4,65.5
271,stirling,Stirling Distillery,Scotland,0,0,0.0
272,st_magdalene,St Magdalene,Scotland,212,2787,89.17
273,stornoway_(ness),Stornoway (Ness),Scotland,0,0,0.0
274,strathclyde,Strathclyde,Scotland,287,2475,85.87
275,strathearn,Strathearn,Scotland,100,366,83.93
276,strathearn,Strathearn,Scotland,100,366,83.93
277,strathearn,Strathearn Distillery,Scotland,30,87,83.22
278,strathearn,Strathearn Distillery,Scotland,30,87,83.22
279,stratheden,Stratheden,Scotland,3,11,79.63
280,strathisla,Strathisla,Scotland,727,9968,87.67
281,strathmill,Strathmill,Scotland,578,5928,84.65
282,stromness,Stromness,Scotland,3,8,88.0
283,taichung,Taichung,Taiwan,3,0,0.0
284,talisker,Talisker,Scotland,1075,47317,86.44
285,tallant,Tallant,Scotland,0,0,0.0
286,tamdhu,Tamdhu,Scotland,708,11681,85.81
287,tamnavulin,Tamnavulin,Scotland,296,3971,84.64
288,teaninich,Teaninich,Scotland,725,10919,85.83
289,the_borders,The Borders Distillery,Scotland,2,5,80.17
290,the_cairn,The Cairn,Scotland,0,0,0.0
291,the_clydeside,The Clydeside Distillery,Scotland,11,198,80.6
292,the_glasgow__co.,The Glasgow Distillery Co.,Scotland,57,1268,83.96
293,the_lindores_distilling_co._ltd.,The Lindores Distilling Co. Ltd.,Scotland,73,1234,84.55
294,the_mars_shinshu,The Mars Shinshu Distillery,Japan,242,2354,86.57
295,the_ontake_distillery,THE ONTAKE DISTILLERY,Japan,0,0,0.0
296,toberanrigh,Toberanrigh Distillery,Scotland,0,0,0.0
297,tobermory,Tobermory,Scotland,2095,47557,86.49
298,tomatin,Tomatin,Scotland,1458,27073,85.82
299,tomintoul,Tomintoul,Scotland,566,9013,85.11
300,torabhaig,Torabhaig,Scotland,16,1446,86.72
301,tormore,Tormore,Scotland,611,7528,85.95
302,toulvaddie,Toulvaddie,Scotland,0,0,0.0
303,tsunuki,Tsunuki,Japan,30,254,86.69
304,tullibardine,Tullibardine,Scotland,868,10116,84.42
305,union,Union Distillery,Scotland,0,0,0.0
306,wakatsuru,Wakatsuru Distillery,Japan,17,44,86.18
307,wakatsuru_saburomaru,Wakatsuru Saburomaru Distillery,Japan,49,125,84.63
308,west_highland,West Highland Distillery,Scotland,0,0,0.0
309,wolfburn,Wolfburn,Scotland,208,5642,85.32
310,yamaga,Yamaga,Japan,2,0,0.0
311,yamazaki,Yamazaki,Japan,600,8482,87.96
312,yoichi,Yoichi,Japan,710,9644,86.93
313,yuza,Yuza Distillery,Japan,2,27,85.71
