,name,slug,country,whiskybase_whiskies,whiskybase_votes,whiskybase_rating
247,Shinzato Shuzo,shinzato_shuzo,Japan,1,3,78.33
248,Shirakawa,shirakawa,Japan,2,3,86.5
249,Shizuoka,shizuoka,Japan,87,363,87.38
250,Speyburn,speyburn,Scotland,350,3851,83.91
251,Speyside Distillery,speyside,Scotland,450,4285,84.27
252,Springbank,springbank,Scotland,5093,110076,88.46
253,Springside Distillery,springside,Scotland,0,0,0.0
254,Starlaw,starlaw,Scotland,1,4,65.5
255,Stirling Distillery,stirling,Scotland,0,0,0.0
256,St Magdalene,st_magdalene,Scotland,212,2787,89.17
257,Stornoway (Ness),stornoway_(ness),Scotland,0,0,0.0
258,Strathclyde,strathclyde,Scotland,287,2475,85.87
259,Strathearn,strathearn,Scotland,100,366,83.93
260,Strathearn Distillery,strathearn,Scotland,30,87,83.22
261,Stratheden,stratheden,Scotland,3,11,79.63
262,Strathisla,strathisla,Scotland,727,9968,87.67
263,Strathmill,strathmill,Scotland,578,5928,84.65
264,Stromness,stromness,Scotland,3,8,88.0
265,Taichung,taichung,Taiwan,3,0,0.0
266,Talisker,talisker,Scotland,1075,47317,86.44
267,Tallant,tallant,Scotland,0,0,0.0
268,Tamdhu,tamdhu,Scotland,708,11681,85.81
269,Tamnavulin,tamnavulin,Scotland,296,3971,84.64
270,Teaninich,teaninich,Scotland,725,10919,85.83
271,The Borders Distillery,the_borders,Scotland,2,5,80.17
272,The Cairn,the_cairn,Scotland,0,0,0.0
273,The Clydeside Distillery,the_clydeside,Scotland,11,198,80.6
274,The Glasgow Distillery Co.,the_glasgow__co.,Scotland,57,1268,83.96
275,The Lindores Distilling Co. Ltd.,the_lindores_distilling_co._ltd.,Scotland,73,1234,84.55
276,The Mars Shinshu Distillery,the_mars_shinshu,Japan,242,2354,86.57
277,THE ONTAKE DISTILLERY,the_ontake_distillery,Japan,0,0,0.0
278,Toberanrigh Distillery,toberanrigh,Scotland,0,0,0.0
279,Tobermory,tobermory,Scotland,2095,47557,86.49
280,Tomatin,tomatin,Scotland,1458,27073,85.82
281,Tomintoul,tomintoul,Scotland,566,9013,85.11
282,Torabhaig,torabhaig,Scotland,16,1446,86.72
283,Tormore,tormore,Scotland,611,7528,85.95
284,Toulvaddie,toulvaddie,Scotland,0,0,0.0
285,Tsunuki,tsunuki,Japan,30,254,86.69
286,Tullibardine,tullibardine,Scotland,868,10116,84.42
287,Union Distillery,union,Scotland,0,0,0.0
288,Wakatsuru Distillery,wakatsuru,Japan,17,44,86.18
289,Wakatsuru Saburomaru Distillery,wakatsuru_saburomaru,Japan,49,125,84.63
290,West Highland Distillery,west_highland,Scotland,0,0,0.0
291,Wolfburn,wolfburn,Scotland,208,5642,85.32
292,Yamaga,yamaga,Japan,2,0,0.0
293,Yamazaki,yamazaki,Japan,600,8482,87.96
294,Yoichi,yoichi,Japan,710,9644,86.93
295,Yuza Distillery,yuza,Japan,2,27,85.71
